Quote_Reference__c,Product_Type__c,Term__c,Interest_Rate_(%)__c,Currency__c,Minimum_Deposit__c,Branch_City__c,Valid_Until__c,Promotional_Description__c,Contact_Email__c
QTEIVR53,Fixed Income Bond Fund,24 Months,3.32,CAD,14931.53,Boston,2025-12-06,"Rate guaranteed for deposits above $10,000.",info@kevcapital.example
QTMB7QIE,Business Line of Credit,3 Months,2.76,CAD,2634.58,Boston,2025-11-22,"Rate guaranteed for deposits above $10,000.",advisor@finassist.example
QTJ087J9,Auto Loan Quote,48 Months,6.03,CAD,14918.25,New York,2025-12-14,Special promotional rate for new customers only.,rates@northbayfunds.example
QT7CA06I,Student Loan Refinance,3 Months,2.06,USD,17651.83,Denver,2025-12-09,"Rate guaranteed for deposits above $10,000.",support@finedge.example
QTS577B1,Business Line of Credit,24 Months,3.66,USD,1557.99,Seattle,2025-12-02,Eligible for loyalty bonus after 12 months.,info@kevcapital.example
QTP3A7QX,Mortgage Rate Offer,24 Months,2.64,USD,30160.9,Seattle,2026-01-07,Flexible payment schedule with early withdrawal penalty.,rates@northbayfunds.example
QT0NI38A,Mortgage Rate Offer,48 Months,6.02,EUR,29666.04,Austin,2025-12-25,Flexible payment schedule with early withdrawal penalty.,info@kevcapital.example
QTMBY4S2,High-Yield Savings,60 Months,5.65,CAD,43636.79,Atlanta,2025-11-05,Eligible for loyalty bonus after 12 months.,support@finedge.example
QTOPAX2J,Business Line of Credit,24 Months,9.08,USD,15627.81,Boston,2025-12-04,Eligible for loyalty bonus after 12 months.,info@kevcapital.example
QTXNYEYF,Mortgage Rate Offer,3 Months,2.11,USD,9901.89,San Francisco,2025-12-02,Includes automatic renewal option upon maturity.,rates@northbayfunds.example
QTPMR9BG,Certificate of Deposit,12 Months,3.95,GBP,1601.65,New York,2025-11-10,"Rate guaranteed for deposits above $10,000.",info@kevcapital.example
QTT43DLO,High-Yield Savings,24 Months,7.59,GBP,4571.8,Dallas,2025-11-20,Eligible for loyalty bonus after 12 months.,advisor@finassist.example
QT0EXCEQ,Mortgage Rate Offer,48 Months,9.13,USD,11397.3,Austin,2026-01-14,Special promotional rate for new customers only.,support@finedge.example
QTSYI8PK,Auto Loan Quote,60 Months,7.36,EUR,44841.8,New York,2025-12-07,Special promotional rate for new customers only.,support@finedge.example
QT7PZKIZ,Certificate of Deposit,60 Months,2.38,USD,37569.99,Atlanta,2025-11-14,Flexible payment schedule with early withdrawal penalty.,info@kevcapital.example
QTYV2HN8,Money Market Account,12 Months,8.57,GBP,34883.49,Austin,2025-11-29,Includes automatic renewal option upon maturity.,rates@northbayfunds.example
QT683W6K,Mortgage Rate Offer,12 Months,4.51,CAD,33734.01,Chicago,2025-11-04,Eligible for loyalty bonus after 12 months.,support@finedge.example
QTM1CNY8,High-Yield Savings,48 Months,7.46,USD,28492.48,Atlanta,2025-11-21,Rates may vary based on credit profile and location.,advisor@finassist.example
QTGZCC3T,Certificate of Deposit,36 Months,5.19,CAD,21967.63,Atlanta,2025-11-30,Eligible for loyalty bonus after 12 months.,advisor@finassist.example
